model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
cnn,train,6000,0.63,55.5,27.5,1500.35,7.0,0.0,5.1,-0.93,5.02
cnn,train,6000,1.2,56.0,25.5,1500.4,7.3,0.0,5.12,-0.88,4.51
cnn,train,6000,1.77,56.4,25.6,1500.35,9.5,0.0,5.12,-0.84,4.3
cnn,train,6000,2.33,55.5,26.0,1500.35,12.0,0.0,5.13,-0.88,4.49
cnn,train,6000,2.9,56.4,25.0,1500.4,14.2,0.0,5.13,-0.85,4.38
cnn,train,6000,3.47,56.9,25.6,1500.4,16.4,0.0,5.13,-0.87,4.47
cnn,train,6000,4.03,57.4,24.4,1500.35,12.2,0.0,5.12,-0.91,4.65
cnn,train,6000,4.6,56.9,23.0,1500.35,12.2,0.0,5.13,-0.88,4.51
cnn,train,6000,5.16,56.9,24.7,1500.35,12.2,0.0,5.12,-0.88,4.53
cnn,train,6000,5.73,56.9,22.0,1500.4,12.2,0.0,5.11,-0.9,4.61
cnn,train,6000,6.29,57.4,25.5,1500.4,12.3,0.0,5.12,-0.89,4.28
cnn,train,6000,6.86,57.9,29.4,1500.4,12.7,0.0,5.09,-0.93,4.75
cnn,train,6000,7.49,58.4,85.4,1500.35,12.8,0.0,5.11,-0.86,4.36
cnn,train,6000,8.16,59.4,90.9,1500.35,13.1,0.0,5.08,-1.07,5.43
cnn,train,6000,8.92,60.3,89.7,1500.35,12.9,0.0,5.11,-0.95,4.88
cnn,train,6000,9.6,58.9,87.6,1000.21,12.9,0.0,5.12,-0.89,4.57
cnn,train,6000,10.33,59.9,86.3,1000.21,12.8,0.0,5.11,-0.93,4.76
cnn,train,6000,11.02,59.4,86.1,1000.27,12.8,0.0,5.1,-1.01,5.13
cnn,train,6000,11.72,59.4,84.9,1000.21,12.6,0.0,5.12,-0.86,4.42
cnn,train,6000,12.37,60.3,92.1,1000.27,13.1,0.0,5.12,-0.91,4.65
cnn,train,6000,13.09,59.4,91.0,1000.21,12.9,0.0,5.1,-0.96,4.88
cnn,train,6000,13.77,59.9,89.5,1000.27,13.0,0.0,5.11,-0.95,4.86
cnn,train,6000,14.43,61.3,86.9,1000.27,12.8,0.0,5.11,-0.9,4.61
cnn,train,6000,15.07,60.8,90.6,1000.27,12.6,0.0,5.13,-0.79,4.08
cnn,train,6000,15.73,60.3,86.7,1000.27,13.1,0.0,5.1,-0.97,4.95
cnn,train,6000,16.4,60.3,88.6,1000.27,12.8,0.0,5.12,-0.86,4.4
cnn,train,6000,17.04,60.3,87.1,1000.21,12.5,0.0,5.12,-0.88,4.53
cnn,train,6000,17.68,60.3,91.8,1000.27,13.0,0.0,5.11,-0.96,4.92
cnn,train,6000,18.37,61.3,88.5,1000.27,13.1,0.0,5.11,-0.97,4.98
cnn,train,6000,19.1,60.8,88.8,1000.27,12.9,0.0,5.11,-0.91,4.65
cnn,train,6000,19.77,60.8,85.5,1000.27,12.7,0.0,5.1,-1.0,5.11
cnn,train,6000,20.4,61.8,89.4,1000.27,12.8,0.0,5.12,-0.82,4.24
cnn,train,6000,21.06,60.8,88.6,1000.27,13.1,0.0,5.11,-0.98,5.03
cnn,train,6000,21.77,62.3,89.8,1000.27,13.0,0.0,5.11,-0.95,4.86
cnn,train,6000,22.46,60.8,87.4,1000.27,12.8,0.0,5.11,-0.89,4.57
cnn,train,6000,23.13,60.8,86.7,1000.21,12.5,0.0,5.12,-0.88,4.49
cnn,train,6000,23.8,60.8,92.4,1000.21,12.8,0.0,5.12,-0.86,4.83
cnn,train,6000,24.49,61.3,89.6,1000.21,12.9,0.0,5.11,-0.97,4.98
cnn,train,6000,25.16,62.3,84.3,1000.27,12.8,0.0,5.12,-0.89,4.57
cnn,train,6000,25.84,62.3,84.7,1000.27,12.7,0.0,5.1,-1.01,5.15
cnn,train,6000,26.47,61.8,91.2,1000.21,12.8,0.0,5.13,-0.94,4.8
cnn,train,6000,27.12,61.8,89.1,1000.21,13.1,0.0,5.1,-0.93,4.74
cnn,train,6000,27.78,61.3,89.6,1000.21,12.8,0.0,5.12,-0.85,4.35
cnn,train,6000,28.49,62.8,84.3,1000.27,12.7,0.0,5.11,-0.95,4.84
cnn,train,6000,29.12,62.3,88.9,1000.27,13.0,0.0,5.12,-0.9,4.58
cnn,train,6000,29.84,62.3,90.2,1000.27,13.0,0.0,5.1,-0.98,4.66
cnn,train,6000,30.53,62.3,87.7,1000.21,12.9,0.0,5.12,-0.89,4.56
cnn,train,6000,31.28,61.8,88.2,1000.21,13.0,0.0,5.12,-0.91,4.67
cnn,train,6000,31.98,61.8,88.7,1000.27,12.8,0.0,5.11,-0.82,4.17
cnn,train,6000,32.68,61.8,88.7,1000.21,12.8,0.0,5.12,-0.91,4.63
cnn,train,6000,33.32,61.8,92.0,1000.21,12.6,0.0,5.13,-0.78,3.99
cnn,train,6000,33.99,62.8,90.4,1000.27,12.9,0.0,5.12,-0.93,4.75
cnn,train,6000,34.69,61.3,87.5,1000.21,13.0,0.0,5.11,-0.97,4.95
cnn,train,6000,35.33,62.3,81.8,1000.27,12.6,0.0,5.1,-0.96,4.89
cnn,train,6000,36.0,62.3,89.4,1000.27,12.6,0.0,5.13,-0.77,4.15
cnn,train,6000,36.68,61.8,89.1,1000.27,13.0,0.0,5.11,-0.9,4.61
