model,samples,epochs,dimension,learning rate,device,training time,dl begin,dl end,train begin,train end
cnn2,6000,1,0,0.001,raspberrypi,1710.02,0.05,3.84,3.84,1714.86
cnn2,6000,1,0,0.001,raspberrypi,1755.23,1715.08,1720.65,1720.65,3477.22
cnn2,6000,1,0,0.001,raspberrypi,1755.28,3477.5,3483.04,3483.04,5239.68
cnn2,6000,1,0,0.001,raspberrypi,1753.5,5240.29,5245.88,5245.88,7000.73
cnn2,6000,1,0,0.001,raspberrypi,1762.3,7000.95,7006.54,7006.54,8770.2
cnn2,6000,1,0,0.001,raspberrypi,1764.88,8770.94,8776.55,8776.55,10542.79
cnn2,6000,1,0,0.001,raspberrypi,1760.5,10543.51,10549.14,10549.14,12311.01
cnn2,6000,1,0,0.001,raspberrypi,1773.43,12311.62,12317.23,12317.23,14092.1
cnn2,6000,1,0,0.001,raspberrypi,1774.7,14092.38,14097.99,14097.99,15874.04
