model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
cnn,train,6000,54.19,72.5,93.0,1500.35,13.4,0.0,5.02,-1.2,6.04
cnn,train,6000,55.01,73.5,98.0,1500.35,13.3,0.0,5.03,-1.15,5.76
cnn,train,6000,55.77,73.0,97.0,1500.35,13.4,0.0,5.05,-0.93,4.7
cnn,train,6000,56.66,72.5,95.4,1500.4,13.0,0.0,5.02,-1.28,6.41
cnn,train,6000,57.5,73.5,99.5,1500.4,13.4,0.0,5.04,-1.1,5.57
cnn,train,6000,58.35,73.5,94.4,1500.35,13.3,0.0,5.06,-1.06,5.36
cnn,train,6000,59.18,72.5,97.5,1500.35,13.2,0.0,5.07,-1.06,6.0
cnn,train,6000,60.0,72.5,98.5,1500.4,13.3,0.0,5.05,-1.06,5.41
cnn,train,6000,60.84,73.0,94.1,1500.35,13.1,0.0,5.02,-1.21,6.07
cnn,train,6000,61.66,72.0,100.0,1500.4,13.5,0.0,5.04,-1.14,5.72
cnn,train,6000,62.47,73.0,96.4,1500.35,13.4,0.0,4.97,-1.42,7.08
cnn,train,6000,63.23,72.0,98.0,1500.35,13.2,0.0,5.03,-1.2,6.04
cnn,train,6000,64.04,72.5,98.5,1500.35,13.7,0.0,5.05,-1.13,5.68
cnn,train,6000,64.83,73.0,93.7,1500.35,13.0,0.0,5.01,-1.27,6.59
cnn,train,6000,65.68,73.5,99.5,1500.35,13.8,0.0,5.04,-1.16,5.86
cnn,train,6000,66.47,73.0,94.4,1500.4,13.3,0.0,5.03,-1.23,6.16
cnn,train,6000,67.33,73.5,98.0,1500.35,13.2,0.0,5.03,-1.17,5.91
cnn,train,6000,68.14,72.5,98.5,1500.35,13.6,0.0,5.03,-1.14,5.79
cnn,train,6000,68.93,72.0,93.9,1500.35,13.0,0.0,5.02,-1.28,6.4
cnn,train,6000,69.73,72.5,99.0,1500.35,13.5,0.0,5.04,-1.13,5.71
cnn,train,6000,70.61,74.5,96.6,1500.35,13.4,0.0,5.03,-1.25,6.3
cnn,train,6000,71.44,73.5,95.1,1500.4,12.8,0.0,5.08,-0.99,5.06
cnn,train,6000,72.17,73.0,98.0,1500.4,13.6,0.0,5.02,-1.23,5.3
cnn,train,6000,73.08,73.0,94.9,1500.4,13.1,0.0,5.01,-1.22,6.11
cnn,train,6000,73.9,73.5,99.5,1500.4,13.5,0.0,5.04,-1.12,5.63
cnn,train,6000,74.69,73.0,91.9,1500.35,13.3,0.0,5.07,-1.09,5.54
cnn,train,6000,75.57,74.0,96.0,1500.35,12.7,0.0,5.04,-1.09,5.53
cnn,train,6000,76.35,73.5,98.0,1500.35,13.4,0.0,5.04,-1.13,5.71
cnn,train,6000,77.22,73.5,93.3,1500.35,13.1,0.0,5.01,-1.23,6.17
cnn,train,6000,77.95,74.0,99.5,1500.35,13.2,0.0,5.05,-1.06,5.38
cnn,train,6000,78.76,73.5,93.9,1500.35,13.3,0.0,5.02,-1.25,6.3
cnn,train,6000,79.62,74.5,97.5,1500.4,13.2,0.0,5.04,-1.08,5.47
cnn,train,6000,80.42,74.5,98.5,1500.4,13.6,0.0,5.04,-1.24,6.23
cnn,train,6000,81.23,74.0,94.0,1500.35,13.0,0.0,5.01,-1.19,5.96
cnn,train,6000,82.02,73.5,99.5,1500.35,13.7,0.0,5.04,-1.13,5.7
cnn,train,6000,82.86,73.5,94.9,1500.35,13.3,0.0,5.06,-1.06,5.35
cnn,train,6000,83.65,75.0,97.5,1500.35,13.3,0.0,5.04,-1.16,5.86
cnn,train,6000,84.48,75.0,97.9,1500.35,13.6,0.0,5.02,-1.22,5.86
cnn,train,6000,85.29,73.5,94.0,1500.35,13.0,0.0,5.0,-1.26,6.32
cnn,train,6000,86.1,73.5,99.5,1500.4,13.3,0.0,5.05,-1.14,5.75
cnn,train,6000,86.95,74.0,94.4,1500.4,13.3,0.0,5.04,-1.13,5.71
cnn,train,6000,87.82,74.5,94.0,1500.4,12.7,0.0,5.04,-1.16,5.4
cnn,train,6000,88.55,74.5,97.5,1500.35,13.5,0.0,5.02,-1.24,6.26
cnn,train,6000,89.45,75.0,92.8,1500.35,13.1,0.0,5.02,-1.28,6.45
cnn,train,6000,90.32,74.0,99.5,1500.4,13.6,0.0,5.03,-1.19,6.02
cnn,train,6000,91.14,75.0,96.5,1500.4,13.1,0.0,5.07,-1.09,4.72
cnn,train,6000,92.02,74.5,94.4,1500.4,12.9,0.0,5.01,-0.95,6.46
cnn,train,6000,92.84,75.4,99.5,1500.35,13.4,0.0,5.03,-1.14,5.99
